	gisaid_epi_isl
65989	EPI_ISL_795136
66101	EPI_ISL_795950
66169	EPI_ISL_617790
66818	EPI_ISL_616415
67847	EPI_ISL_817190
68238	EPI_ISL_817938
68277	EPI_ISL_817957
68354	EPI_ISL_817500
68558	EPI_ISL_817536
68973	EPI_ISL_815638
69021	EPI_ISL_815639
69109	EPI_ISL_815439
69172	EPI_ISL_616628
69322	EPI_ISL_815640
69364	EPI_ISL_815484
69379	EPI_ISL_815641
69380	EPI_ISL_815642
69384	EPI_ISL_815486
69385	EPI_ISL_815645
69386	EPI_ISL_815487
69398	EPI_ISL_815644
69405	EPI_ISL_815643
70723	EPI_ISL_616695
70800	EPI_ISL_616702
70932	EPI_ISL_616714
71064	EPI_ISL_616727
71671	EPI_ISL_844301
71713	EPI_ISL_616802
71872	EPI_ISL_844302
71890	EPI_ISL_844303
71936	EPI_ISL_844304
71960	EPI_ISL_844305
71987	EPI_ISL_844234
71990	EPI_ISL_844262
72362	EPI_ISL_616863
73121	EPI_ISL_615972
73363	EPI_ISL_615996
73847	EPI_ISL_616775
74507	EPI_ISL_616369
74865	EPI_ISL_870110
74870	EPI_ISL_616065
75314	EPI_ISL_870523
75750	EPI_ISL_616150
76298	EPI_ISL_871419
76740	EPI_ISL_616269
76793	EPI_ISL_925998
76795	EPI_ISL_616274
76829	EPI_ISL_926030
76843	EPI_ISL_926043
76887	EPI_ISL_926083
77093	EPI_ISL_926270
77181	EPI_ISL_926350
77306	EPI_ISL_926465
77338	EPI_ISL_926494
77411	EPI_ISL_616335
77765	EPI_ISL_926882
77798	EPI_ISL_926912
78127	EPI_ISL_927211
78191	EPI_ISL_927270
78217	EPI_ISL_927293
78274	EPI_ISL_927345
78369	EPI_ISL_927431
78390	EPI_ISL_616402
78432	EPI_ISL_927489
78584	EPI_ISL_927627
78725	EPI_ISL_927755
79431	EPI_ISL_928397
79482	EPI_ISL_928443
79773	EPI_ISL_928708
79896	EPI_ISL_928820
80409	EPI_ISL_929286
80525	EPI_ISL_929391
80859	EPI_ISL_929695
81701	EPI_ISL_615843
83552	EPI_ISL_622057
83563	EPI_ISL_622058
83596	EPI_ISL_622061
85654	EPI_ISL_615743
86039	EPI_ISL_615543
87425	EPI_ISL_615652
87436	EPI_ISL_615653
87480	EPI_ISL_615657
87524	EPI_ISL_615661
87590	EPI_ISL_615667
88264	EPI_ISL_1025810
88381	EPI_ISL_1025917
88387	EPI_ISL_1025922
88398	EPI_ISL_1025932
88409	EPI_ISL_1025942
88571	EPI_ISL_621930
88572	EPI_ISL_621931
88574	EPI_ISL_621371
88609	EPI_ISL_622175
88610	EPI_ISL_622176
88635	EPI_ISL_621372
88688	EPI_ISL_621425
88690	EPI_ISL_621427
88700	EPI_ISL_621437
88802	EPI_ISL_621467
88927	EPI_ISL_621592
88928	EPI_ISL_621593
88931	EPI_ISL_621596
89051	EPI_ISL_621716
89052	EPI_ISL_621717
89053	EPI_ISL_621718
89058	EPI_ISL_621723
89353	EPI_ISL_620805
89354	EPI_ISL_620806
89355	EPI_ISL_620807
89356	EPI_ISL_620808
89418	EPI_ISL_620870
89419	EPI_ISL_620871
89420	EPI_ISL_620872
89421	EPI_ISL_620873
89422	EPI_ISL_620874
89423	EPI_ISL_620875
89455	EPI_ISL_620907
89528	EPI_ISL_619942
89644	EPI_ISL_620958
89686	EPI_ISL_621000
89693	EPI_ISL_621007
89694	EPI_ISL_621008
89734	EPI_ISL_621048
89773	EPI_ISL_620165
89774	EPI_ISL_620166
89776	EPI_ISL_620168
89783	EPI_ISL_620175
89784	EPI_ISL_620176
89789	EPI_ISL_620181
89790	EPI_ISL_620182
89807	EPI_ISL_620199
89911	EPI_ISL_620232
89912	EPI_ISL_620233
89913	EPI_ISL_620234
89914	EPI_ISL_620235
90047	EPI_ISL_620077
90066	EPI_ISL_620096
90087	EPI_ISL_620117
90088	EPI_ISL_620118
90089	EPI_ISL_620119
90091	EPI_ISL_620121
90103	EPI_ISL_619990
90118	EPI_ISL_620005
90122	EPI_ISL_620009
90154	EPI_ISL_620041
90155	EPI_ISL_620042
90156	EPI_ISL_620043
90157	EPI_ISL_620044
90318	EPI_ISL_620345
90319	EPI_ISL_620346
90320	EPI_ISL_620347
90388	EPI_ISL_619415
90390	EPI_ISL_619417
90419	EPI_ISL_619446
90433	EPI_ISL_619608
90434	EPI_ISL_619609
90436	EPI_ISL_619611
90437	EPI_ISL_619612
90442	EPI_ISL_619617
90443	EPI_ISL_619618
90466	EPI_ISL_619641
90467	EPI_ISL_619642
90468	EPI_ISL_619643
90527	EPI_ISL_619557
90548	EPI_ISL_619578
90550	EPI_ISL_619580
90554	EPI_ISL_619584
90566	EPI_ISL_619596
90567	EPI_ISL_619597
90568	EPI_ISL_619598
90572	EPI_ISL_619602
90637	EPI_ISL_619460
90647	EPI_ISL_619470
90650	EPI_ISL_619473
90658	EPI_ISL_619481
90659	EPI_ISL_619482
90660	EPI_ISL_619483
90664	EPI_ISL_619487
90665	EPI_ISL_619488
90667	EPI_ISL_619490
90694	EPI_ISL_619518
90834	EPI_ISL_619807
90836	EPI_ISL_619809
90900	EPI_ISL_619874
90901	EPI_ISL_619875
90958	EPI_ISL_619070
90980	EPI_ISL_618940
90981	EPI_ISL_619071
90987	EPI_ISL_618941
90993	EPI_ISL_619085
90994	EPI_ISL_618942
91000	EPI_ISL_618943
91001	EPI_ISL_618944
91011	EPI_ISL_619072
91034	EPI_ISL_619073
91052	EPI_ISL_619074
91053	EPI_ISL_619075
91142	EPI_ISL_618945
91150	EPI_ISL_618946
91151	EPI_ISL_619076
91153	EPI_ISL_618947
91154	EPI_ISL_618948
91169	EPI_ISL_619077
91186	EPI_ISL_619078
91187	EPI_ISL_619061
91190	EPI_ISL_618949
91259	EPI_ISL_619080
91261	EPI_ISL_619079
91272	EPI_ISL_618951
91274	EPI_ISL_618952
91288	EPI_ISL_618953
91289	EPI_ISL_619069
91292	EPI_ISL_618950
91310	EPI_ISL_618954
91386	EPI_ISL_619062
91409	EPI_ISL_618472
91416	EPI_ISL_618473
91417	EPI_ISL_618426
91422	EPI_ISL_618474
91434	EPI_ISL_618445
91476	EPI_ISL_618488
91490	EPI_ISL_618523
91491	EPI_ISL_618533
91492	EPI_ISL_618541
91493	EPI_ISL_618546
91495	EPI_ISL_618551
91501	EPI_ISL_618535
91517	EPI_ISL_618554
91519	EPI_ISL_618519
91598	EPI_ISL_618623
91653	EPI_ISL_618702
91674	EPI_ISL_618723
91681	EPI_ISL_618672
91682	EPI_ISL_618681
91687	EPI_ISL_618724
91694	EPI_ISL_618708
91711	EPI_ISL_618785
91727	EPI_ISL_618755
91729	EPI_ISL_618773
91738	EPI_ISL_618788
91772	EPI_ISL_618810
91825	EPI_ISL_618816
91857	EPI_ISL_618883
91871	EPI_ISL_617060
91907	EPI_ISL_617061
91933	EPI_ISL_617062
91934	EPI_ISL_617063
91946	EPI_ISL_616940
91947	EPI_ISL_616938
91948	EPI_ISL_616939
91953	EPI_ISL_617056
91955	EPI_ISL_617055
91999	EPI_ISL_616941
92003	EPI_ISL_617064
92028	EPI_ISL_616942
92051	EPI_ISL_617065
92094	EPI_ISL_616937
92110	EPI_ISL_617066
92158	EPI_ISL_616944
92183	EPI_ISL_616943
92185	EPI_ISL_616972
92189	EPI_ISL_617067
92256	EPI_ISL_616934
92270	EPI_ISL_616968
92271	EPI_ISL_616971
92274	EPI_ISL_616945
92307	EPI_ISL_617068
92315	EPI_ISL_616935
92325	EPI_ISL_617059
92348	EPI_ISL_616936
92384	EPI_ISL_617932
92388	EPI_ISL_617907
92434	EPI_ISL_616946
92444	EPI_ISL_618034
92445	EPI_ISL_618035
92446	EPI_ISL_618036
92447	EPI_ISL_618037
92449	EPI_ISL_618038
92450	EPI_ISL_618042
92451	EPI_ISL_618044
92452	EPI_ISL_618046
92453	EPI_ISL_618059
92454	EPI_ISL_618060
92455	EPI_ISL_618061
92456	EPI_ISL_618063
92507	EPI_ISL_625754
92517	EPI_ISL_625853
92558	EPI_ISL_625708
92560	EPI_ISL_625944
92572	EPI_ISL_625854
92575	EPI_ISL_625938
92577	EPI_ISL_625855
92579	EPI_ISL_625856
92601	EPI_ISL_625980
92611	EPI_ISL_625717
92623	EPI_ISL_625974
92643	EPI_ISL_625968
92653	EPI_ISL_625718
92654	EPI_ISL_625858
92660	EPI_ISL_625719
92667	EPI_ISL_625750
92699	EPI_ISL_625860
92700	EPI_ISL_625859
92710	EPI_ISL_625715
92711	EPI_ISL_625887
92712	EPI_ISL_625888
92714	EPI_ISL_625720
92741	EPI_ISL_625731
92762	EPI_ISL_625861
92781	EPI_ISL_625725
92825	EPI_ISL_625862
92869	EPI_ISL_625721
92904	EPI_ISL_625722
92933	EPI_ISL_625863
92956	EPI_ISL_625864
92996	EPI_ISL_625865
93051	EPI_ISL_668523
93055	EPI_ISL_668524
93056	EPI_ISL_668829
93057	EPI_ISL_668757
93061	EPI_ISL_668561
93071	EPI_ISL_668579
93072	EPI_ISL_668758
93076	EPI_ISL_668759
93078	EPI_ISL_668580
93083	EPI_ISL_668760
93095	EPI_ISL_668830
93097	EPI_ISL_668743
