	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
285585	Netherlands/FR-RIVM-10056/2021	EPI_ISL_905406	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285586	Netherlands/FR-RIVM-10057/2021	EPI_ISL_905407	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285587	Netherlands/FR-RIVM-10058/2021	EPI_ISL_905408	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285588	Netherlands/FR-RIVM-10059/2021	EPI_ISL_905409	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285589	Netherlands/FR-RIVM-10060/2021	EPI_ISL_905410	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285590	Netherlands/FR-RIVM-10061/2021	EPI_ISL_905411	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285591	Netherlands/FR-RIVM-10062/2021	EPI_ISL_905412	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285592	Netherlands/FR-RIVM-10063/2021	EPI_ISL_905413	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285593	Netherlands/FR-RIVM-10064/2021	EPI_ISL_905415	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285594	Netherlands/FR-RIVM-10066/2021	EPI_ISL_905417	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285595	Netherlands/FR-RIVM-10067/2021	EPI_ISL_905419	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285596	Netherlands/FR-RIVM-10068/2021	EPI_ISL_905420	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285597	Netherlands/FR-RIVM-10069/2021	EPI_ISL_905421	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285598	Netherlands/FR-RIVM-10070/2021	EPI_ISL_905422	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285599	Netherlands/FR-RIVM-10071/2021	EPI_ISL_905423	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285600	Netherlands/FR-RIVM-10072/2021	EPI_ISL_905424	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285601	Netherlands/FR-RIVM-10073/2021	EPI_ISL_905425	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285604	Netherlands/FR-RIVM-10103/2021	EPI_ISL_905474	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285605	Netherlands/FR-RIVM-10104/2021	EPI_ISL_905475	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285606	Netherlands/FR-RIVM-10105/2021	EPI_ISL_905476	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285607	Netherlands/FR-RIVM-10106/2021	EPI_ISL_905477	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285608	Netherlands/FR-RIVM-10107/2021	EPI_ISL_905478	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285609	Netherlands/FR-RIVM-10108/2021	EPI_ISL_905479	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285610	Netherlands/FR-RIVM-10109/2021	EPI_ISL_905480	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285611	Netherlands/FR-RIVM-10111/2021	EPI_ISL_905482	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285612	Netherlands/FR-RIVM-10282/2021	EPI_ISL_904973	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285613	Netherlands/FR-RIVM-10291/2021	EPI_ISL_904982	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285614	Netherlands/FR-RIVM-10294/2021	EPI_ISL_904985	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285615	Netherlands/FR-RIVM-10295/2021	EPI_ISL_904986	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285616	Netherlands/FR-RIVM-10297/2021	EPI_ISL_904988	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285617	Netherlands/FR-RIVM-10298/2021	EPI_ISL_904989	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285618	Netherlands/FR-RIVM-10299/2021	EPI_ISL_904990	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285619	Netherlands/FR-RIVM-10300/2021	EPI_ISL_904991	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285620	Netherlands/FR-RIVM-10308/2021	EPI_ISL_905001	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285621	Netherlands/FR-RIVM-10309/2021	EPI_ISL_905002	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285622	Netherlands/FR-RIVM-10310/2021	EPI_ISL_905003	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285623	Netherlands/FR-RIVM-10311/2021	EPI_ISL_905005	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285624	Netherlands/FR-RIVM-10312/2021	EPI_ISL_905006	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285625	Netherlands/FR-RIVM-10313/2021	EPI_ISL_905007	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285626	Netherlands/FR-RIVM-10525/2021	EPI_ISL_905202	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285627	Netherlands/FR-RIVM-10526/2021	EPI_ISL_905203	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285628	Netherlands/FR-RIVM-10527/2021	EPI_ISL_905243	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285629	Netherlands/FR-RIVM-10573/2021	EPI_ISL_904769	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285630	Netherlands/FR-RIVM-10574/2021	EPI_ISL_904675	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
